reporte de usuarios con archivo .txt
---------

usuario	archivos

root	0

daemon	0

bin	0

sys	0

sync	0

games	0

man	0

lp	0

mail	0

news	0

uucp	0

proxy	0

www-data	0

backup	0

list	0

irc	0

_apt	0

nobody	0

systemd-network	2000

systemd-timesync	2000

dhcpcd	0

messagebus	0

syslog	0

systemd-resolve	2000

uuidd	0

usbmux	0

tss	0

systemd-oom	2000

kernoops	2000

whoopsie	0

dnsmasq	0

avahi	0

tcpdump	0

sssd	0

speech-dispatcher	0

cups-pk-helper	0

fwupd-refresh	0

saned	0

geoclue	0

cups-browsed	0

hplip	0

gnome-remote-desktop	0

polkitd	2000

rtkit	0

colord	0

gnome-initial-setup	0

gdm	0

nm-openvpn	0

francisco	242

pepe	0

